T,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10
0,0,0,0,0,0,0,0,0,0,0
0.0018,0,0,0,6.86936424764091e-06,0,0,0,0,0,0
0.0036,0,0,0,2.74625847289041e-05,0,0,0,0,0,0
0.0054,0,0,0,6.17573133650849e-05,0,0,0,0,0,0
0.0072,0,0,0,0.000109731149671786,0,0,0,0,0,0
0.009,0,0,0,0.000171361649702802,0,0,0,0,0,0
0.0108,0,0,0,0.000246626315234628,0,0,0,0,0,0
0.0126,0,0,0,0.000335502580639267,0,0,0,0,0,0
0.0144,0,0,0,0.000437967830739003,0,0,0,0,0,0
0.0162,0,0,0,0.000553999400949428,0,0,0,0,0,0
0.018,0,0,0,0.00068357457727944,0,0,0,0,0,0
0.0198,0,0,0,0.000826670596331246,0,0,0,0,0,0
0.0216,0,0,0,0.000983264645300355,0,0,0,0,0,0
0.0234,0,0,0,0.00115333386197559,0,0,0,0,0,0
0.0252,0,0,0,0.00133685533473908,0,0,0,0,0,0
0.027,0,0,0,0.00153380610256625,0,0,0,0,0,0
0.0288,0,0,0,0.00174416315502585,0,0,0,0,0,0
0.0306,0,0,0,0.00196790343227993,0,0,0,0,0,0
0.0324,0,0,0,0.00220500382508383,0,0,0,0,0,0
0.0342,0,0,0,0.00245544117478623,0,0,0,0,0,0
0.036,0,0,0,0.0027191922733291,0,0,0,0,0,0
0.0378,0,0,0,0.00299623418041644,0,0,0,0,0,0
0.0396,0,0,0,0.00328654583437782,0,0,0,0,0,0
0.0414,0,0,0,0.00359010407559187,0,0,0,0,0,0
0.0432,0,0,0,0.00390688521609583,0,0,0,0,0,0
0.045,0,0,0,0.00423686553280744,0,0,0,0,0,0
0.0468,0,0,0,0.00458002126752499,0,0,0,0,0,0
0.0486,0,0,0,0.00493632862692728,0,0,0,0,0,0
0.0504,0,0,0,0.00530576378257365,0,0,0,0,0,0
0.0522,0,0,0,0.00568830287090397,0,0,0,0,0,0
0.054,0,0,0,0.00608392199323864,0,0,0,0,0,0
0.0558,0,0,0,0.00649259721577858,0,0,0,0,0,0
0.0576,0,0,0,0.00691430456960524,0,0,0,0,0,0
0.0594,0,0,0,0.00734902005068061,0,0,0,0,0,0
0.0612,0,0,0,0.00779671961984718,0,0,0,0,0,0
0.063,0,0,0,0.00825737920282801,0,0,0,0,0,0
0.0648,0,0,0,0.00873097469022666,0,0,0,0,0,0
0.0666,0,0,0,0.00921748193752722,0,0,0,0,0,0
0.0684,0,0,0,0.00971687676509432,0,0,0,0,0,0
0.0702,0,0,0,0.0102291349581731,0,0,0,0,0,0
0.072,0,0,0,0.0107542322668893,0,0,0,0,0,0
0.0738,0,0,0,0.011292144406249,0,0,0,0,0,0
0.0756,0,0,0,0.0118428470561391,0,0,0,0,0,0
0.0774,0,0,0,0.0124063158613267,0,0,0,0,0,0
0.0792,0,0,0,0.0129825264314598,0,0,0,0,0,0
0.081,0,0,0,0.0135714543410665,0,0,0,0,0,0
0.0828,0,0,0,0.0141730751295558,0,0,0,0,0,0
0.0846,0,0,0,0.014787364301217,0,0,0,0,0,0
0.0864,0,0,0,0.0154142973252201,0,0,0,0,0,0
0.0882,0,0,0,0.0160538496356155,0,0,0,0,0,0
0.09,0,0,0,0.0167059966313341,0,0,0,0,0,0
0.0918,0,0,0,0.0173707136761875,0,0,0,0,0,0
0.0936,0,0,0,0.0180479760988677,0,0,0,0,0,0
0.0954,0,0,0,0.0187377591929472,0,0,0,0,0,0
0.0972,0,0,0,0.019440038216879,0,0,0,0,0,0
0.099,0,0,0,0.020154788393997,0,0,0,0,0,0
0.1008,0,0,0,0.020881984912515,0,0,0,0,0,0
0.1026,0,0,0,0.0216216029255279,0,0,0,0,0,0
0.1044,0,0,0,0.0223736175510108,0,0,0,0,0,0
0.1062,0,0,0,0.0231380038718195,0,0,0,0,0,0
0.108,0,0,0,0.0239147369356902,0,0,0,0,0,0
0.1098,0,0,0,0.0247037917552396,0,0,0,0,0,0
0.1116,0,0,0,0.0255051433079651,0,0,0,0,0,0
0.1134,0,0,0,0.0263187665362446,0,0,0,0,0,0
